Key,Name,Calories,Fat,Protein,Carbs,Fiber
171528,Turkey Retail Parts Breast Meat And Skin Raw,155,7.45,21.88,0,0
171529,Turkey Retail Parts Breast Meat And Skin Cooked Roasted,164,5.33,29.01,0.05,0
171530,Roasted Turkey Drumstick,139,2.08,30.13,0,0
171531,Turkey Thigh From Whole Bird Meat Only Raw,108,2.5,21.28,0.15,0
171532,Roasted Turkey Thigh,165,6.04,27.71,0,0
171533,Turkey Retail Parts Thigh Meat And Skin Raw,161,9.16,19.54,0,0
171534,Chicken Broiler Or Fryers Breast Skinless Boneless Meat Only Cooked Grilled,151,3.17,30.54,0,0
171535,Chicken Broiler Or Fryers Breast Skinless Boneless Meat Only With Added Solution Cooked Braised,145,3.61,28.24,0,0
171536,Chicken Broiler Or Fryers Breast Skinless Boneless Meat Only With Added Solution Cooked Grilled,148,3.39,29.5,0,0
171537,Soup Cream Of Asparagus Canned Condensed,69,3.26,1.82,8.52,0.4
171538,Soup Beef Broth Or Bouillon Canned Ready-To-Serve,7,0.22,1.14,0.04,0
171539,Soup Beef Noodle Canned Condensed,67,2.46,3.85,7.16,0.6
171540,Soup Cream Of Celery Canned Condensed,72,4.46,1.32,7.03,0.6
171541,Soup Cheese Canned Condensed,82,3.92,0.8,11.3,2.2
171542,Soup Chicken Broth Canned Condensed,31,1.04,4.42,0.75,0
171543,Soup Chicken Noodle Canned Condensed,48,1.55,2.37,6.07,0.9
171544,Soup Chicken Rice Canned Chunky Ready-To-Serve,53,1.33,5.11,5.41,0.4
171545,Soup Chicken With Rice Canned Condensed,68,1.56,1.84,11.57,0.9
171546,Soup Chicken And Vegetable Canned Ready-To-Serve,33,0.73,1.97,4.68,0.9
171547,Soup Clam Chowder New England Canned Condensed,72,2.06,3.17,10.32,0.7
171548,Soup Beef Broth Bouillon And Consomme Canned Condensed,11,0,2.52,0.32,0
171549,Soup Lentil With Ham Canned Ready-To-Serve,56,1.12,3.74,8.16,0
171550,Canned Minestrone,53,1.17,2.13,8.64,2.4
171551,Soup Onion Canned Condensed,46,1.42,3.06,6.68,0.7
171552,Soup Cream Of Onion Canned Condensed,88,4.2,2.2,10.4,0.4
171553,Soup Oyster Stew Canned Condensed,48,3.13,1.72,3.32,0
171554,Soup Pea Green Canned Condensed,125,2.23,6.54,20.18,3.9
171555,Soup Pea Split With Ham Canned Chunky Ready-To-Serve,77,1.66,4.62,11.17,1.7
171556,Campbells Red And White Chicken Noodle Soup Condensed,47,1.53,2.37,5.97,0
171557,Soup Tomato Rice Canned Condensed,93,2.12,1.64,17.08,1.3
171558,Soup Turkey Chunky Canned Ready-To-Serve,57,1.87,4.33,5.96,0
171559,Soup Chunky Vegetable Canned Ready-To-Serve,39,0.36,1.14,7.9,1.1
171560,Soup Beef Broth Or Bouillon Powder Dry,213,8.89,15.97,17.4,0
171561,Soup Beef Broth Cubed Dry,170,4,17.3,16.1,0
171562,Soup Chicken Broth Or Bouillon Dry,267,13.88,16.66,18.01,0
171563,Soup Chicken Broth Cubes Dry,198,4.7,14.6,23.5,0
171564,Gravy Beef Canned Ready-To-Serve,53,2.36,3.75,4.81,0.4
171565,Gravy Brown Dry,367,9.61,10.74,59.38,2
171566,Gravy Chicken Canned Or Bottled Ready-To-Serve,48,2.62,0.71,5.29,0.1
171567,Gravy Chicken Dry,381,9.73,11.27,62.09,0
171568,Gravy Turkey Canned Ready-To-Serve,51,2.1,2.6,5.1,0.4
